Fire_Size,Fire_Size_Class,Fire_Cause,Latitude,Longitude,State,Discovery_Month,Discovery_Date,Discovery_Year,Vegetation,Fire_Magnitude,Temp_Pre_30,Temp_Pre_15,Temp_Pre_7,Temp_Present,Wind_Pre_30,Wind_Pre_15,Wind_Pre_7,Wind_Present,Hum_Pre_30,Hum_Pre_15,Hum_Pre_7,Hum_Present,Prec_Pre_30,Prec_Pre_15,Prec_Pre_7,Prec_Present
2,B,Debris Burning,35.125,-82.5203,SC,Mar,1/31/2001,2001,15,0.1,7.1062249,8.263043478,8.924680851,6.559737828,3.225025329,3.69241517,3.457758621,4.284160305,69.29181929,70.07416268,64.01092896,64.58501119,138.8,105.6,56.4,177.4
3,B,Arson,31.6086,-89.8714,MS,Jun,5/30/2006,2006,12,0.1,26.20965452,26.84651601,26.94246032,26.73408049,1.815759584,1.847363465,1.987301587,1.72572593,65.65918164,67.4248497,63.39029536,71.46104651,81.3,36.6,34.8,4.6
2,B,Campfire,38.43800893,-81.34133251,WV,Dec,11/16/2006,2006,0,0.1,5.883026188,3.910196078,6.122321429,7.398926655,2.108382066,2.875442043,1.877130045,1.801433692,62.93957115,55.95481336,54.43049327,69.22043011,39.4,5.2,1.6,75.8
1,B,Miscellaneous,38.00945,-77.46472,VA,Feb,1/11/2008,2008,0,0.1,4.82731377,7.561097257,11.97633136,6.078346028,1.993340858,2.365336658,2.769230769,2.520674646,65.14105505,59.64871795,59.625,65.70928962,93.2,54.6,0.6,74.1
1,B,Debris Burning,34.3428,-89.8114,MS,Sep,8/20/2000,2000,16,0.1,28.13318078,25.18903803,23.8960199,19.89769989,3.535225956,3.854318182,3.432663317,3.691951488,55.67439166,61.35681818,52.1758794,61.72166105,21.8,21.8,17.8,56
1.5,B,Lightning,33.7319444,-109.026667,NM,Jul,6/18/2010,2010,16,0.1,24.02811671,24.79572193,25.51436782,26.13095238,3.772413793,3.532352941,3.047126437,4.513095238,28.45949535,33.35294118,40.27011494,46.64285714,0.8,0.8,0.8,11.2
35,C,Missing/Undefined,37.52616001,-83.67308001,KY,Nov,10/6/2006,2006,0,1,10.74042743,8.610380623,10.05119048,8.332359081,1.339536955,1.439100346,1.235714286,1.656680585,76.04627007,72.93295019,65.98181818,68.75438596,137.9,73.2,16.3,52.6
4.5,B,Debris Burning,44.33319999,-100.117,SD,Apr,3/13/2006,2006,15,0.1,2.284859366,8.27064803,10.98309859,11.75888817,5.73940678,5.825520833,5.777259475,5.167249191,73.86095593,69.73541384,60.35798817,66.97120419,12.9,8,0.8,15.1
1,B,Miscellaneous,33.2110576,-99.77,TX,Dec,11/18/2013,2013,16,0.1,4.144818182,1.757494867,6.130857143,4.953982301,4.064076782,4.53100616,3.562857143,4.263716814,71.1102873,66.61825726,59.22285714,73.73522459,20.3,3,0.5,15
2,B,Debris Burning,32.0363041,-98.4500262,TX,Sep,8/11/2014,2014,12,0.1,28.39248015,27.73988868,26.78469185,23.76278528,2.826623073,2.762801484,2.621471173,2.383977643,54.70948155,60.50742115,65.08946322,61.84583139,41.3,30,3.3,16.4
3,B,Arson,33.7481,-87.6419,AL,Feb,1/12/1999,1999,16,0.1,14.08376289,14.95089286,16.4097561,9.810771114,2.422680412,2.426116071,2.128292683,2.78629131,75.5615142,77.84548105,69.875,62.41103448,168.9,149.4,12.4,111.4
1,B,Missing/Undefined,28.78694001,-81.09472998,FL,May,4/9/2004,2004,12,0.1,22.03084223,23.10091743,22.98564593,25.80294906,3.690984579,3.489908257,3.405263158,3.538203753,70.6377858,73.85480094,72.79710145,67.91451832,95.6,54.7,50.4,35
1,B,Equipment Use,34.95,-79.55,NC,Nov,10/7/2000,2000,16,0.1,14.47510669,14.68245125,12.31547619,8.229954614,1.959886202,1.966295265,1.214880952,2.558547655,63.03025719,65.0845481,63.7721519,69.17176871,4.3,1.8,1.8,56.4
5,B,Debris Burning,31.56061498,-96.29158335,TX,Feb,1/24/2009,2009,12,0.1,10.4107064,13.51704545,11.31122995,14.43771314,4.477654867,4.587471526,4.222043011,5.222927329,63.70852018,63.08372093,56.90810811,67.83168317,22.7,17.8,2.6,42.4
109,D,Debris Burning,31.10221999,-93.93528001,TX,Apr,3/30/2005,2005,12,3,18.34519104,18.50692521,17.68306011,21.02930832,2.333992095,2.03933518,2.440437158,1.678429074,73.05179856,70.12209302,66.90285714,70.20576671,46.8,1.8,1.8,20.6
20,C,Debris Burning,32.1567,-95.54642,TX,Feb,1/8/2008,2008,12,1,7.741522843,8.410687023,13.06574074,11.12391714,4.004771574,4.497709924,5.57037037,4.748022599,68.96232179,70.82725528,66.65277778,69.90480679,43.2,31.1,15.5,122.3
23,C,Children,42.1167,-96.367,NE,Apr,3/18/1999,1999,9,1,7.294514286,7.708333333,7.04,12.55256831,6.634742857,7.657539683,8.3768,5.753879781,67.40632319,76.54268293,81.64049587,75.32291667,46.5,44.5,16.3,29.8
3,B,Lightning,46.81194444,-115.3441667,ID,Aug,7/12/2015,2015,15,0.1,14.45768786,16.47345845,15.68604651,10.38570234,2.107508939,2.027472527,2.208284024,2.248676345,49.33206107,38.87637363,40.50887574,60.8446411,28.2,3.3,0.3,20.2
5,B,Miscellaneous,28.84314273,-98.72458693,TX,Mar,2/16/2009,2009,12,0.1,16.31855422,16.82156489,12.01434426,20.20961538,3.110848602,3.44565425,2.288934426,3.55998076,54.72025316,65.63821138,67.7944664,46.35023041,3.6,3.6,3.6,1.5
25,C,Debris Burning,30.58161,-88.28403,AL,Feb,1/2/1994,1994,12,1,8.23125,8.646666667,11.72559524,13.06666667,4.067777778,4.0475,4.101190476,3.702916667,68.55913978,65.69253731,80.3125,71.26226734,654,431.8,357.8,320.4
5,B,Miscellaneous,32.85305555,-116.885,CA,Jul,6/11/2005,2005,12,0.1,17.9516129,17.72663551,18.07106599,19.90857788,2.254147465,2.099766355,2.003553299,1.99537246,73.60950174,74.29550827,73.9035533,79.30602958,2.9,1.5,0.6,2.1
2,B,Miscellaneous,37.11305555,-120.3469444,CA,Jan,1/1/2007,2007,0,0.1,4.61084855,5.639908257,7.474468085,8.600308325,1.652524168,1.367889908,1.614042553,2.131963001,72.8529755,70.98765432,76.98571429,78.73574561,12.2,3.8,3.8,49.1
41.28,C,Debris Burning,33.11641583,-83.40968181,GA,Apr,3/5/2004,2004,16,1,15.13263041,14.8155902,15.0940367,18.73346044,3.173140954,3.136080178,3.593119266,2.772041985,55.84572697,56.83741648,59.97706422,61.67366412,26.8,22,14.8,135.2
