Fire_Size,Fire_Cause,Latitude,Longitude,State,Discovery_Date
20.0,Arson,31.4781,-89.6931,MS,5/16/2002
1.0,Debris Burning,35.3167,-78.1,NC,2/7/2002
2.17,Miscellaneous,43.28220785,-75.82579016,NY,3/30/2010
13.36,Arson,32.65326185,-83.43546837,GA,3/10/2007
20.0,Arson,34.67909999,-95.50848002,OK,1/29/2004
1.17,Equipment Use,30.78961134,-83.47470829,GA,2/19/2009
1.0,Arson,43.17635235,-77.61052715,NY,7/14/2003
6.0,Debris Burning,32.64636,-80.85858,SC,2/23/2009
5.0,Lightning,36.91305999,-106.6536,NM,7/9/2000
3.0,Arson,38.20960809,-82.15267879,WV,10/14/2009
10.0,Missing/Undefined,31.544552,-89.854401,MS,1/10/2008
17.5,Arson,33.6075,-85.2867,GA,1/2/1998
1.0,Debris Burning,33.4533,-89.1447,MS,10/24/2002
150.0,Debris Burning,27.29,-81.06,FL,1/3/1992
1.0,Miscellaneous,35.26833,-87.27999997,TN,1/15/2006
100.0,Missing/Undefined,35.17860031,-103.5337982,NM,3/1/1999
13.0,Missing/Undefined,35.49832998,-94.75749998,OK,6/6/2006
2.3,Lightning,30.76282794,-82.98410406,GA,7/7/2007
2.0,Arson,37.4717,-83.5678,KY,1/19/1997
1.0,Powerline,32.589068,-96.325722,TX,8/3/2014
48.4,Debris Burning,48.7929,-118.8518,WA,3/9/2015
1.5,Miscellaneous,32.70388888,-116.5980556,CA,1/23/2006
4.1,Debris Burning,33.7958,-85.2275,GA,3/3/1998
48.0,Missing/Undefined,36.35,-92.33333,AR,10/21/2013
20.0,Arson,35.4256,-92.5306,AR,3/2/2002
1.1,Miscellaneous,39.56942,-77.43763,MD,3/20/2008
700.0,Miscellaneous,35.5367,-95.4822,OK,7/17/2012
3.0,Arson,35.12023,-93.71452998,AR,7/1/2006
1.0,Miscellaneous,36.34194444,-119.4211111,CA,3/19/2007
21.86,Arson,34.13816557,-85.38746397,GA,7/31/2006
1.2,Equipment Use,31.72604654,-83.93603056,GA,3/7/2007
110.4,Lightning,45.25945,-88.44647,WI,4/26/2014
12.0,Debris Burning,32.66388999,-94.78916997,TX,2/12/2005
3.0,Equipment Use,30.73,-81.97,FL,2/8/1998
20.0,Debris Burning,37.63044404,-91.47143655,MO,1/23/1995
10.0,Arson,30.385,-89.1689,MS,9/1/2006
20.0,Arson,33.0575,-93.4056,AR,2/1/2000
1.0,Debris Burning,41.93165588,-103.5403061,NE,9/5/2009
1.0,Debris Burning,34.31533276,-92.85088124,AR,10/13/2006
3.0,Railroad,30.6572,-84.9881,FL,1/27/2002
5.0,Equipment Use,32.23250078,-97.23528331,TX,7/9/2009
2.0,Debris Burning,33.78497,-81.98895,SC,10/22/2007
18.0,Lightning,30.43189,-93.6608,LA,1/26/2010
0.89,Arson,31.85432035,-81.43669175,GA,1/8/2009
5.0,Arson,30.3981,-88.4494,MS,6/11/2006
7.0,Missing/Undefined,35.28997,-95.36245,OK,1/10/2008
1.1,Debris Burning,31.8657,-92.21872,LA,8/2/2013
1.0,Debris Burning,47.0016,-122.80464,WA,2/25/2002
10.0,Debris Burning,45.62524,-94.06016,MN,3/27/1993
1.25,Miscellaneous,42.7868,-73.9709,NY,3/15/2014
4.0,Debris Burning,34.84625,-77.58073,NC,2/7/2009
2.0,Debris Burning,34.15880998,-82.35635001,SC,1/9/2007
30.0,Debris Burning,33.32721999,-95.22694,TX,7/24/2003
2.0,Debris Burning,36.899281,-83.733398,KY,11/1/2014
3.0,Smoking,34.27909,-81.63404998,SC,2/2/2007
1.0,Children,33.828106,-117.287512,CA,10/5/2010
4.0,Lightning,26.73,-80.19,FL,4/26/2000
0.75,Debris Burning,48.6419,-119.1895,WA,7/22/2015
1.0,Debris Burning,34.0656,-93.2442,AR,8/15/1997
3.0,Equipment Use,33.65749999,-81.67888997,SC,4/7/2007
1.0,Debris Burning,39.16694444,-120.9930556,CA,3/5/1995
135.0,Arson,31.1367,-88.0314,AL,2/6/1999
5.0,Arson,36.055,-84.64999997,TN,2/6/2006
6.5,Lightning,44.6061,-105.3747,WY,7/6/2009
2.0,Missing/Undefined,26.09333,-81.63611,FL,5/12/2009
0.7,Campfire,27.10389,-81.9825,FL,4/10/2009
30.0,Arson,38.5478,-82.8056,KY,6/5/1999
350.0,Missing/Undefined,37.22086001,-83.22164,KY,1/30/2004
0.75,Miscellaneous,42.279,-75.2097,NY,6/19/2014
1.0,Miscellaneous,30.39478,-97.67093,TX,11/3/2007
1.0,Railroad,25.51,-80.39,FL,8/24/1998
50.0,Railroad,30.48,-82.33,FL,4/11/1998
20.0,Debris Burning,33.88334,-80.81666997,SC,2/24/2003
3.0,Debris Burning,31.6192,-88.6692,MS,1/29/2006
10.0,Lightning,28.28,-81.19,FL,8/13/1993
120.0,Missing/Undefined,38.234444,-95.015,KS,6/21/2012
1.0,Equipment Use,38.41243,-105.15254,CO,3/29/1995
5.0,Lightning,30.36127,-101.5883,TX,7/13/2008
0.75,Debris Burning,40.7575,-76.39,PA,2/22/2015
1.0,Miscellaneous,43.56136186,-97.98680305,SD,3/27/2014
1.0,Debris Burning,35.25853,-82.70496,NC,3/22/2009
450.0,Missing/Undefined,42.4,-87.83,IL,3/29/2003
2.0,Debris Burning,30.58679752,-93.98161492,TX,1/8/2010
3.0,Lightning,46.10014,-91.21146,WI,5/13/2006
8.0,Debris Burning,33.48165,-86.69997,AL,3/12/1996
3.0,Equipment Use,32.692843,-99.688568,TX,7/19/2013
20.0,Equipment Use,33.3544,-87.6558,AL,6/20/2000
5.0,Lightning,36.11472222,-105.8416667,NM,6/3/2008
1.0,Equipment Use,33.50236299,-97.24089046,TX,7/13/2009
1.0,Campfire,44.466969,-74.377124,NY,6/17/2003
10.0,Debris Burning,37.3747,-84.3492,KY,6/17/1999
1.0,Debris Burning,32.42908002,-80.75157997,SC,6/29/2006
3.0,Railroad,35.7017,-78.5883,NC,4/25/1998
10.0,Miscellaneous,37.342911,-83.137268,KY,2/13/2014
1.0,Campfire,36.60889,-82.56306,VA,2/14/2009
1.0,Debris Burning,32.69074998,-80.91810998,SC,7/6/2006
1.0,Arson,33.5093935,-97.1973194,TX,8/13/2010
15.0,Railroad,26.92,-81.98,FL,1/17/2000
1.4,Arson,30.98752,-92.76967,LA,11/21/2010
1.0,Debris Burning,29.3242,-98.2592,TX,3/12/2008
15.0,Debris Burning,43.1401,-98.4269,SD,3/17/2015
1.5,Equipment Use,39.55881,-74.44805001,NJ,1/26/2006
2.0,Miscellaneous,30.6431,-88.7678,MS,1/9/2006
1.0,Missing/Undefined,43.3497,-98.79339998,SD,7/24/2006
1.1,Debris Burning,32.27,-84.2986,GA,8/12/1999
2.0,Debris Burning,26.93917,-81.95805,FL,1/9/2007
0.75,Lightning,30.97298,-92.81493,LA,2/17/2010
0.6,Debris Burning,34.0697,-83.9928,GA,10/8/1999
3.5,Debris Burning,32.5042907,-94.6449162,TX,10/31/2013
6.4,Debris Burning,47.16792,-68.55042,ME,4/7/2007
0.86,Arson,40.8301,-73.0211,NY,6/24/2014
5.0,Miscellaneous,42.67,-71.32,MA,3/13/2002
1.0,Debris Burning,32.89692998,-97.56453001,TX,3/3/2006
1.0,Arson,47.60314008,-95.53001394,MN,3/17/2005
25.0,Arson,35.53022997,-91.52230001,AR,3/3/2003
4.0,Arson,41.869337,-124.212296,CA,6/18/2009
35.0,Miscellaneous,32.85474005,-93.60353084,LA,5/19/2005
2.0,Debris Burning,33.26133,-80.70677,SC,1/11/2008
1.0,Miscellaneous,32.51661,-95.90836,TX,2/23/2008
1.0,Debris Burning,31.516362,-96.378422,TX,6/4/2010
1.0,Miscellaneous,35.1833,-80.3833,NC,10/30/2002
11.0,Campfire,30.59655,-88.38528,AL,8/6/1994
